day,Open,High,Low,Close
2003-02-19,166.31,166.31,166.31,166.31
2003-02-18,167.23,167.23,167.23,167.23
2003-02-17,168.49,168.49,168.49,168.49
2003-02-14,168.73,168.73,168.73,168.73
2003-02-13,167.07,167.07,167.07,167.07
2003-12-02,163.91,163.91,163.91,163.91
2003-11-02,167.59,167.59,167.59,167.59
2003-10-02,170.94,170.94,170.94,170.94
2003-07-02,172.38,172.38,172.38,172.38
2003-06-02,172.38,172.38,172.38,172.38
2003-01-30,172.38,172.38,172.38,172.38
2003-01-29,172.38,172.38,172.38,172.38
2003-01-28,172.38,172.38,172.38,172.38
2003-01-27,172.3,172.3,172.3,172.3
2003-01-24,172.66,172.66,172.66,172.66
2003-01-23,172.03,172.03,172.03,172.03
2003-01-22,170.55,170.55,170.55,170.55
2003-01-21,171.36,171.36,171.36,171.36
2003-01-20,171.4,171.4,171.4,171.4
2003-01-17,173.05,173.05,173.05,173.05
2003-01-16,173.11,173.11,173.11,173.11
2003-01-15,176.43,176.43,176.43,176.43
2003-01-14,177.31,177.31,177.31,177.31
2003-01-13,178.03,178.03,178.03,178.03
2003-10-01,178.67,178.67,178.67,178.67
2003-09-01,178.93,178.93,178.93,178.93
2003-08-01,179.79,179.79,179.79,179.79
2003-07-01,180.63,180.63,180.63,180.63
2003-06-01,181.76,181.76,181.76,181.76
2003-03-01,182.39,182.39,182.39,182.39
2003-02-01,183.41,183.41,183.41,183.41
2002-12-31,183.33,183.33,183.33,183.33
2002-12-30,182.65,182.65,182.65,182.65
2002-12-27,183.05,183.05,183.05,183.05
2002-12-26,183.78,183.78,183.78,183.78
2002-12-25,184.14,184.14,184.14,184.14
2002-12-24,184.18,184.18,184.18,184.18
2002-12-23,184.23,184.23,184.23,184.23
2002-12-20,184.94,184.94,184.94,184.94
2002-12-19,186.18,186.18,186.18,186.18
2002-12-18,185.96,185.96,185.96,185.96
2002-12-17,185.37,185.37,185.37,185.37
2002-12-16,184.74,184.74,184.74,184.74
2002-12-13,184.15,184.15,184.15,184.15
2002-12-12,183.69,183.69,183.69,183.69
2002-11-12,184.34,184.34,184.34,184.34
2002-10-12,184.75,184.75,184.75,184.75
2002-09-12,183.62,183.62,183.62,183.62
2002-06-12,184.55,184.55,184.55,184.55
2002-05-12,186.83,186.83,186.83,186.83
2002-04-12,187.21,187.21,187.21,187.21
2002-03-12,183.56,183.56,183.56,183.56
2002-02-12,179.27,179.27,179.27,179.27
2002-11-29,177.87,177.87,177.87,177.87
2002-11-28,177.25,177.25,177.25,177.25
2002-11-27,176.44,176.44,176.44,176.44
2002-11-26,176.5,176.5,176.5,176.5
2002-11-25,176.47,176.47,176.47,176.47
2002-11-22,175.24,175.24,175.24,175.24
2002-11-21,176.47,176.47,176.47,176.47
2002-11-20,176.08,176.08,176.08,176.08
2002-11-19,175.54,175.54,175.54,175.54
2002-11-18,175.73,175.73,175.73,175.73
2002-11-15,175.77,175.77,175.77,175.77
2002-11-14,175.42,175.42,175.42,175.42
2002-11-13,175.63,175.63,175.63,175.63
